person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,loan_status
23,34000,MORTGAGE,0,DEBTCONSOLIDATION,2525,13.12,0.07,3,1
23,33000,RENT,5,DEBTCONSOLIDATION,4800,14.54,0.15,3,1
25,34000,MORTGAGE,2,VENTURE,15450,11.22,0.45,4,1
24,33600,RENT,0,MEDICAL,4800,11.86,0.14,2,0
26,35000,RENT,0,DEBTCONSOLIDATION,4800,8.9,0.14,2,0
22,40058,MORTGAGE,5,VENTURE,6000,9.91,0.15,2,0
22,35000,RENT,3,EDUCATION,4800,5.42,0.14,3,0
25,35000,RENT,9,VENTURE,4800,11.14,0.14,2,0
25,35000,RENT,1,MEDICAL,4800,10.28,0.14,2,0
23,40104,OTHER,7,EDUCATION,10000,12.72,0.25,2,0
24,40113,MORTGAGE,6,HOMEIMPROVEMENT,5000,7.14,0.12,2,0
22,30000,RENT,4,PERSONAL,4800,,0.16,3,1
23,36000,RENT,0,PERSONAL,4800,11.11,0.13,3,0
21,40200,MORTGAGE,5,MEDICAL,7200,7.88,0.18,2,0
25,30000,RENT,0,HOMEIMPROVEMENT,4800,15.95,0.16,2,1
26,40224,MORTGAGE,0,PERSONAL,7000,7.4,0.17,2,0
22,40269,MORTGAGE,6,DEBTCONSOLIDATION,6625,15.23,0.16,3,0
26,40272,MORTGAGE,3,EDUCATION,10000,11.86,0.25,3,0
23,40308,MORTGAGE,1,EDUCATION,5000,7.68,0.12,4,0
25,38000,RENT,9,MEDICAL,4800,11.71,0.13,4,0
22,32400,RENT,7,PERSONAL,4800,13.98,0.15,2,1
22,38790,RENT,0,EDUCATION,4800,13.8,0.12,3,0
26,39996,RENT,5,EDUCATION,4800,12.99,0.12,4,0
22,40499,MORTGAGE,7,MEDICAL,11500,11.83,0.28,4,0
24,40800,RENT,5,MEDICAL,4800,13.85,0.12,3,0
22,41300,RENT,6,EDUCATION,4800,11.89,0.12,3,0
25,40500,MORTGAGE,5,HOMEIMPROVEMENT,6500,9.63,0.16,4,0
22,41504,RENT,6,EDUCATION,4800,12.99,0.12,4,0
22,42000,RENT,4,DEBTCONSOLIDATION,4800,14.35,0.11,4,0
25,42000,RENT,2,DEBTCONSOLIDATION,4800,13.22,0.11,4,0
22,42996,RENT,3,PERSONAL,4800,11.03,0.11,4,0
22,40542,MORTGAGE,6,VENTURE,6250,,0.15,2,0
26,44600,RENT,0,EDUCATION,4800,14.65,0.11,2,0
25,45000,RENT,9,EDUCATION,4800,7.51,0.11,3,0
26,45000,RENT,1,MEDICAL,4800,5.42,0.11,2,0
23,39000,RENT,0,PERSONAL,4800,17.99,0.12,4,1
26,40610,MORTGAGE,7,HOMEIMPROVEMENT,3500,7.14,0.09,4,0
26,40720,MORTGAGE,4,PERSONAL,10000,13.48,0.25,3,0
26,45000,RENT,2,PERSONAL,4800,13.06,0.11,4,0
22,40800,MORTGAGE,7,EDUCATION,17050,,0.42,2,0
21,45000,RENT,3,VENTURE,4800,7.51,0.11,4,0
23,45000,RENT,4,PERSONAL,4800,13.98,0.11,2,0
23,45000,RENT,2,EDUCATION,4800,13.22,0.11,4,0
25,45000,RENT,2,PERSONAL,4800,9.45,0.11,4,0
26,45243,RENT,3,VENTURE,4800,9.25,0.11,2,0
24,45840,RENT,2,DEBTCONSOLIDATION,4800,7.49,0.1,2,0
24,46000,RENT,0,PERSONAL,4800,8.9,0.1,2,0
24,40800,MORTGAGE,0,MEDICAL,8000,11.99,0.2,4,0
22,40800,MORTGAGE,6,PERSONAL,7975,5.79,0.2,3,0
25,40800,MORTGAGE,9,MEDICAL,9700,9.63,0.24,4,0
21,47664,RENT,5,DEBTCONSOLIDATION,4800,7.9,0.1,2,0
23,40800,MORTGAGE,4,MEDICAL,10400,10,0.25,2,0
23,48000,RENT,6,VENTURE,4800,7.9,0.1,3,0
24,40800,MORTGAGE,8,EDUCATION,1200,,0.03,3,0
26,42000,RENT,2,VENTURE,4800,14.27,0.11,2,1
23,40800,OWN,,MEDICAL,21000,6.17,0.51,3,0
24,42000,RENT,2,EDUCATION,4800,15.23,0.11,2,1
22,40800,OWN,6,VENTURE,10000,12.61,0.25,2,0
23,48000,RENT,3,MEDICAL,4800,5.42,0.1,3,0
25,40800,MORTGAGE,,HOMEIMPROVEMENT,8000,5.79,0.2,2,0
22,48000,RENT,0,DEBTCONSOLIDATION,4800,12.98,0.1,2,0
24,40800,OWN,0,VENTURE,14400,14.35,0.35,2,0
25,48000,RENT,9,MEDICAL,4800,,0.1,3,0
26,40800,MORTGAGE,3,PERSONAL,7500,7.88,0.18,2,0
24,48000,RENT,0,PERSONAL,4800,9.88,0.1,3,0
23,48600,RENT,2,DEBTCONSOLIDATION,4800,10.36,0.1,3,0
23,48756,RENT,5,MEDICAL,4800,11.36,0.1,4,0
23,40800,MORTGAGE,3,MEDICAL,10000,7.14,0.25,2,0
23,40800,MORTGAGE,1,EDUCATION,16000,,0.39,4,0
25,50000,RENT,8,EDUCATION,4800,15.96,0.1,2,0
24,40800,MORTGAGE,1,EDUCATION,6000,12.92,0.15,3,0
25,50000,RENT,5,VENTURE,4800,10.99,0.1,4,0
22,40872,MORTGAGE,6,EDUCATION,13750,10.83,0.34,4,0
23,40900,OWN,5,MEDICAL,12200,11.36,0.3,4,0
22,34900,MORTGAGE,4,DEBTCONSOLIDATION,3600,15.7,0.1,4,1
23,34900,MORTGAGE,2,MEDICAL,4000,,0.11,4,1
23,50000,RENT,7,EDUCATION,4800,10.37,0.1,3,0
22,50000,RENT,7,MEDICAL,4800,12.68,0.1,3,0
26,50000,RENT,0,VENTURE,4800,,0.1,3,0
24,50000,RENT,2,VENTURE,4800,13.22,0.1,4,0
26,52000,RENT,2,EDUCATION,4800,9.99,0.09,2,0
23,52000,RENT,3,EDUCATION,4800,9.88,0.09,2,0
24,55000,RENT,8,PERSONAL,4800,6.92,0.09,3,0
21,55000,RENT,3,EDUCATION,4800,11.12,0.09,4,0
25,49000,RENT,3,MEDICAL,4800,14.96,0.1,2,1
23,41000,MORTGAGE,7,EDUCATION,6000,6.03,0.15,4,0
25,55200,RENT,2,MEDICAL,4800,7.9,0.09,3,0
22,41000,MORTGAGE,6,EDUCATION,12000,6.03,0.29,2,0
23,56928,RENT,3,PERSONAL,4800,10.38,0.08,3,0
21,41000,MORTGAGE,4,DEBTCONSOLIDATION,7000,6.03,0.17,3,0
26,52000,RENT,6,MEDICAL,4800,17.99,0.09,4,1
26,41000,MORTGAGE,5,PERSONAL,8000,6.03,0.2,3,0
26,53000,RENT,2,PERSONAL,4800,15.62,0.09,3,1
26,60000,RENT,1,HOMEIMPROVEMENT,4800,7.9,0.08,3,0
24,60000,RENT,4,HOMEIMPROVEMENT,4800,6.54,0.08,4,0
22,41000,MORTGAGE,0,VENTURE,6400,9.99,0.16,4,0
24,62000,RENT,4,PERSONAL,4800,7.14,0.08,3,0
26,41000,OWN,7,HOMEIMPROVEMENT,9000,,0.22,4,0
22,41000,OWN,0,PERSONAL,1000,6.99,0.02,2,0
26,65000,RENT,0,HOMEIMPROVEMENT,4800,13.72,0.07,2,0
24,65000,RENT,0,PERSONAL,4800,7.88,0.07,4,0
24,41000,MORTGAGE,3,VENTURE,2500,7.29,0.06,2,0
25,65004,RENT,1,HOMEIMPROVEMENT,4800,13.49,0.07,3,0
21,41000,MORTGAGE,,PERSONAL,3000,5.79,0.07,4,0
21,41000,MORTGAGE,2,PERSONAL,8200,6.91,0.2,3,0
23,35000,MORTGAGE,7,EDUCATION,5000,12.98,0.14,3,1
22,41000,MORTGAGE,0,EDUCATION,6000,11.86,0.15,2,0
23,69000,RENT,7,MEDICAL,4800,10.75,0.07,2,0
23,70000,RENT,2,PERSONAL,4800,,0.07,2,0
26,72000,RENT,4,HOMEIMPROVEMENT,4800,11.86,0.07,3,0
24,72096,RENT,2,HOMEIMPROVEMENT,4800,7.14,0.07,2,0
22,67200,RENT,6,DEBTCONSOLIDATION,4800,16.7,0.07,2,1
24,69000,RENT,2,DEBTCONSOLIDATION,4800,15.21,0.07,4,1
22,75000,RENT,0,DEBTCONSOLIDATION,4800,12.21,0.06,2,0
24,41000,OWN,9,HOMEIMPROVEMENT,10000,15.33,0.24,4,0
24,41000,MORTGAGE,3,DEBTCONSOLIDATION,9000,9.88,0.22,2,0
23,41000,MORTGAGE,7,VENTURE,10000,14.96,0.24,2,0
22,41000,MORTGAGE,0,DEBTCONSOLIDATION,7750,9.88,0.19,3,0
23,86000,RENT,0,VENTURE,4800,9.62,0.06,3,0
26,89000,RENT,,EDUCATION,4800,5.99,0.05,2,0
21,90000,RENT,3,EDUCATION,4800,9.62,0.05,3,0
23,92000,RENT,5,MEDICAL,4800,10,0.05,3,0
22,41000,OWN,6,MEDICAL,2500,14.96,0.06,4,0
26,95000,RENT,4,DEBTCONSOLIDATION,4800,,0.05,4,0
22,41000,MORTGAGE,4,VENTURE,6000,8.59,0.15,4,0
24,103641,RENT,8,VENTURE,4800,10.74,0.05,2,0
24,105000,RENT,5,HOMEIMPROVEMENT,4800,,0.05,2,0
22,41000,MORTGAGE,2,EDUCATION,3000,12.18,0.07,4,0
21,41000,OWN,5,PERSONAL,5000,7.74,0.12,3,0
22,115000,RENT,4,MEDICAL,4800,7.88,0.04,2,0
25,120000,RENT,9,PERSONAL,4800,14.22,0.04,3,0
23,41000,MORTGAGE,5,DEBTCONSOLIDATION,6000,9.32,0.15,3,0
24,125000,RENT,6,PERSONAL,4800,6.76,0.04,3,0
23,41000,MORTGAGE,0,VENTURE,4500,10.95,0.11,4,0
22,23000,RENT,6,VENTURE,4850,14.27,0.21,4,0
24,40000,RENT,0,EDUCATION,4850,6.62,0.12,2,0
24,54000,RENT,0,HOMEIMPROVEMENT,4850,8.49,0.09,2,0
23,41000,MORTGAGE,4,MEDICAL,7500,10.71,0.18,2,0
23,41000,MORTGAGE,7,DEBTCONSOLIDATION,5500,10.71,0.13,4,0
25,21600,RENT,0,EDUCATION,4900,13.72,0.23,2,0
21,41004,MORTGAGE,5,VENTURE,24250,10.75,0.59,2,0
25,41004,OWN,9,VENTURE,4000,6.76,0.1,3,0
25,41004,OWN,1,PERSONAL,12000,,0.29,2,0
23,95000,RENT,4,PERSONAL,10000,10.99,0.11,4,0
26,41004,MORTGAGE,5,VENTURE,16000,10.95,0.39,3,0
23,41004,MORTGAGE,8,VENTURE,10000,9.32,0.24,4,0
25,83000,RENT,0,EDUCATION,10000,13.22,0.12,3,1
23,96000,RENT,7,PERSONAL,10000,10.65,0.1,3,0
26,96000,RENT,11,HOMEIMPROVEMENT,10000,19.69,0.1,3,0
21,41033,MORTGAGE,2,DEBTCONSOLIDATION,5700,12.99,0.14,4,0
24,41100,OWN,,PERSONAL,5600,6.03,0.14,3,0
24,41100,OWN,2,VENTURE,9200,12.42,0.22,2,0
23,97000,RENT,7,EDUCATION,10000,13.99,0.1,3,0
24,97850,RENT,5,HOMEIMPROVEMENT,10000,7.51,0.1,4,0
25,98000,RENT,9,DEBTCONSOLIDATION,10000,12.69,0.1,4,0
23,41196,MORTGAGE,7,EDUCATION,16000,11.83,0.39,2,0
26,99000,RENT,5,PERSONAL,10000,7.29,0.1,2,0
25,99275,RENT,1,PERSONAL,10000,14.65,0.1,3,0
21,41200,OWN,3,PERSONAL,8000,11.48,0.19,3,0
24,87996,RENT,8,DEBTCONSOLIDATION,10000,14.84,0.11,2,1
22,99996,RENT,1,EDUCATION,10000,9.32,0.1,4,0
22,100000,RENT,3,EDUCATION,10000,10.65,0.1,3,0
24,100000,RENT,5,PERSONAL,10000,7.51,0.1,3,0
25,100000,RENT,3,VENTURE,10000,6.62,0.1,4,0
25,88000,RENT,9,EDUCATION,10000,17.88,0.11,4,1
24,100000,RENT,4,HOMEIMPROVEMENT,10000,16.4,0.1,2,0
21,88000,RENT,,VENTURE,10000,17.93,0.11,3,1
23,100000,RENT,0,PERSONAL,10000,11.46,0.1,2,0
21,102000,RENT,5,EDUCATION,10000,,0.1,3,0
23,41496,OWN,4,VENTURE,7200,,0.17,2,0
26,102000,RENT,5,MEDICAL,10000,8.59,0.1,2,0
25,107000,RENT,0,VENTURE,10000,8.38,0.09,3,0
24,41500,MORTGAGE,8,EDUCATION,8500,7.14,0.2,4,0
23,107500,RENT,7,MEDICAL,10000,7.66,0.09,2,0
26,96000,RENT,2,EDUCATION,10000,15.28,0.1,2,1
25,41508,MORTGAGE,9,EDUCATION,1600,13.11,0.04,3,0
23,98000,RENT,0,EDUCATION,10000,16.4,0.1,2,1
25,41520,OWN,9,MEDICAL,4400,7.29,0.11,2,0
23,110000,RENT,5,DEBTCONSOLIDATION,10000,7.88,0.09,2,0
22,41600,OWN,4,EDUCATION,12000,12.42,0.29,2,0
22,41600,MORTGAGE,0,DEBTCONSOLIDATION,6800,10.59,0.16,3,0
23,41600,MORTGAGE,7,EDUCATION,7000,13.43,0.17,3,0
26,113000,RENT,3,HOMEIMPROVEMENT,10000,13.72,0.09,3,0
24,41600,MORTGAGE,0,HOMEIMPROVEMENT,10000,8.94,0.24,2,0
22,41600,MORTGAGE,2,EDUCATION,3000,15.05,0.07,3,0
24,114800,RENT,6,PERSONAL,10000,8.94,0.09,4,0
22,41604,OWN,1,PERSONAL,14400,,0.35,4,0
25,41664,MORTGAGE,6,HOMEIMPROVEMENT,4000,5.99,0.1,2,0
25,115000,RENT,6,MEDICAL,10000,7.29,0.09,4,0
22,41717,OWN,5,VENTURE,20000,11.12,0.48,4,0
25,41718,OWN,3,VENTURE,5000,7.51,0.12,2,0
25,115000,RENT,3,MEDICAL,10000,10.37,0.09,2,0
21,35760,MORTGAGE,5,HOMEIMPROVEMENT,2400,,0.07,3,1
25,116000,RENT,5,DEBTCONSOLIDATION,10000,14.26,0.09,4,0
22,41784,MORTGAGE,6,DEBTCONSOLIDATION,5000,6.03,0.12,2,0
22,41800,MORTGAGE,3,VENTURE,3100,6.76,0.07,4,0
22,41820,MORTGAGE,4,PERSONAL,2500,6.91,0.06,3,0
21,120000,RENT,2,DEBTCONSOLIDATION,10000,11.71,0.08,3,0
21,120000,RENT,4,DEBTCONSOLIDATION,10000,9.99,0.08,3,0
26,120000,RENT,11,HOMEIMPROVEMENT,10000,12.68,0.08,2,0
23,35941,MORTGAGE,7,HOMEIMPROVEMENT,3500,13.35,0.1,2,1
24,120000,RENT,3,MEDICAL,10000,7.88,0.08,2,0
24,120000,RENT,4,HOMEIMPROVEMENT,10000,13.61,0.08,4,0
23,91800,RENT,7,MEDICAL,10000,,0.09,4,1
25,120000,RENT,3,DEBTCONSOLIDATION,10000,9.32,0.08,2,0
23,120000,RENT,0,DEBTCONSOLIDATION,10000,11.66,0.08,2,0
24,42000,MORTGAGE,5,DEBTCONSOLIDATION,19200,7.9,0.46,2,0
26,122500,RENT,1,MEDICAL,10000,10.65,0.08,3,0
25,42000,MORTGAGE,,DEBTCONSOLIDATION,3000,9.91,0.07,4,0
23,124000,RENT,2,PERSONAL,10000,14.27,0.08,3,0
22,42000,MORTGAGE,1,PERSONAL,10500,14.65,0.25,2,0
26,125000,RENT,6,VENTURE,10000,7.49,0.08,2,0
25,130000,RENT,7,HOMEIMPROVEMENT,10000,7.49,0.08,2,0
22,36000,MORTGAGE,6,DEBTCONSOLIDATION,4000,12.69,0.11,4,1
21,36000,MORTGAGE,2,MEDICAL,5000,14.27,0.14,2,1
25,42000,MORTGAGE,9,HOMEIMPROVEMENT,12000,9.91,0.29,2,0
23,42000,MORTGAGE,0,PERSONAL,6000,16.77,0.14,3,0
25,42000,MORTGAGE,1,VENTURE,13975,8.9,0.33,4,0
25,132000,RENT,4,HOMEIMPROVEMENT,10000,12.84,0.08,3,0
22,42000,MORTGAGE,6,EDUCATION,15000,13.49,0.36,4,0
22,140000,RENT,0,EDUCATION,10000,9.99,0.07,2,0
24,140000,RENT,0,HOMEIMPROVEMENT,10000,11.14,0.07,2,0
24,42000,MORTGAGE,5,EDUCATION,4900,6.03,0.12,4,0
24,42000,OWN,8,EDUCATION,8000,6.62,0.19,4,0
22,42000,MORTGAGE,5,VENTURE,5400,6.03,0.13,3,0
22,42000,OWN,6,VENTURE,4800,,0.11,3,0
26,145000,RENT,1,HOMEIMPROVEMENT,10000,10.99,0.07,3,0
22,42000,MORTGAGE,,VENTURE,3500,9.91,0.08,2,0
24,42000,MORTGAGE,3,EDUCATION,8675,7.51,0.21,4,0
23,157500,RENT,1,EDUCATION,10000,12.69,0.06,2,0
25,42000,OWN,6,EDUCATION,18000,,0.43,2,0
22,160000,RENT,0,VENTURE,10000,8.94,0.06,3,0
25,153000,RENT,9,DEBTCONSOLIDATION,10000,14.96,0.07,4,1
24,165000,RENT,2,PERSONAL,10000,9.2,0.06,3,0
24,42000,MORTGAGE,6,MEDICAL,3125,8.9,0.07,3,0
25,175000,RENT,4,HOMEIMPROVEMENT,10000,15.05,0.06,4,0
24,238000,RENT,2,VENTURE,10000,13.67,0.04,2,1
22,42000,MORTGAGE,7,DEBTCONSOLIDATION,9350,12.69,0.22,2,0
24,42000,MORTGAGE,,VENTURE,8000,6.62,0.19,3,0
24,24148,RENT,1,EDUCATION,9975,11.48,0.41,4,1
22,29004,RENT,,EDUCATION,9975,,0.34,2,1
24,46000,RENT,2,VENTURE,9975,13.11,0.22,3,0
22,60000,RENT,6,VENTURE,9975,11.48,0.17,4,0
22,42000,MORTGAGE,6,MEDICAL,3000,6.03,0.07,2,0
23,65000,RENT,0,VENTURE,9975,7.51,0.15,2,0
23,42000,OWN,5,VENTURE,6500,6.03,0.15,2,0
22,72000,RENT,0,VENTURE,9975,10.99,0.14,3,0
22,42000,OWN,6,PERSONAL,10000,6.03,0.24,2,0
25,42000,MORTGAGE,9,EDUCATION,9100,,0.22,3,0
22,83200,RENT,6,DEBTCONSOLIDATION,9975,,0.12,3,0
25,26880,RENT,1,VENTURE,4900,14.26,0.18,4,0
21,42000,OWN,5,EDUCATION,5000,17.49,0.12,2,0
22,26400,RENT,6,EDUCATION,9900,11.71,0.38,4,1
22,30000,RENT,4,VENTURE,9875,7.29,0.33,3,1
23,42000,MORTGAGE,7,EDUCATION,8000,10.99,0.19,4,0
26,28000,RENT,5,VENTURE,9800,7.29,0.35,4,1
22,33000,RENT,,DEBTCONSOLIDATION,9800,,0.3,2,1
25,36000,RENT,3,EDUCATION,9800,10.36,0.27,4,0
23,48000,RENT,7,DEBTCONSOLIDATION,9800,7.88,0.2,4,0
23,44000,RENT,7,EDUCATION,9800,7.51,0.22,2,1
24,42000,MORTGAGE,4,HOMEIMPROVEMENT,12000,6.99,0.29,3,0
23,44000,RENT,7,MEDICAL,9800,13.11,0.22,2,1
24,42000,MORTGAGE,8,PERSONAL,1000,11.49,0.02,4,0
26,36000,MORTGAGE,3,EDUCATION,11000,10.59,0.31,4,1
24,53500,RENT,0,HOMEIMPROVEMENT,9800,6.17,0.18,4,0
23,60000,RENT,4,EDUCATION,9800,13.49,0.16,2,0
22,60000,RENT,4,PERSONAL,9800,,0.16,3,0
25,60000,RENT,4,PERSONAL,9800,,0.16,3,0
24,82500,RENT,8,MEDICAL,9800,7.51,0.12,4,0
23,66300,RENT,7,MEDICAL,9800,15.7,0.13,2,1
22,42000,OWN,3,VENTURE,7000,,0.17,3,0
26,93000,RENT,7,HOMEIMPROVEMENT,9800,10.25,0.11,4,0
25,42000,MORTGAGE,2,EDUCATION,7200,14.79,0.17,2,0
26,107000,RENT,2,MEDICAL,9800,8.9,0.09,3,0
23,36000,MORTGAGE,7,HOMEIMPROVEMENT,6725,11.49,0.19,2,1
21,42000,MORTGAGE,5,EDUCATION,7000,15.23,0.17,4,0
23,36504,RENT,0,EDUCATION,4900,12.68,0.13,2,0
25,32400,RENT,2,MEDICAL,4900,11.49,0.15,2,1
23,42000,RENT,2,EDUCATION,4900,14.72,0.12,4,0
22,42000,MORTGAGE,6,EDUCATION,14750,12.99,0.35,4,0
22,42000,MORTGAGE,6,EDUCATION,6000,12.99,0.14,2,0
22,42000,MORTGAGE,5,VENTURE,5000,6.99,0.12,4,0
26,36000,MORTGAGE,1,HOMEIMPROVEMENT,4500,10.59,0.13,2,1
23,50000,RENT,0,EDUCATION,4900,8.49,0.1,3,0
21,50000,RENT,5,EDUCATION,4900,8.94,0.1,2,0
24,51630,RENT,0,MEDICAL,4900,9.99,0.09,3,0
23,54096,RENT,2,PERSONAL,4900,,0.09,2,0
23,42000,MORTGAGE,7,VENTURE,8000,5.42,0.19,3,0
24,69600,RENT,8,PERSONAL,4900,9.99,0.07,2,0
23,42000,MORTGAGE,7,PERSONAL,12000,15.23,0.29,3,0
21,42000,OWN,5,MEDICAL,8000,9.99,0.19,4,0
24,74000,RENT,1,PERSONAL,4900,12.87,0.07,3,0
23,107000,RENT,2,DEBTCONSOLIDATION,4900,8.94,0.05,2,0
25,13296,RENT,,HOMEIMPROVEMENT,4950,9.63,0.37,3,1
22,15000,RENT,3,PERSONAL,4950,8.9,0.33,4,1
24,42000,MORTGAGE,9,PERSONAL,11000,5.42,0.26,4,0
24,42000,MORTGAGE,2,PERSONAL,10000,7.49,0.24,4,0
24,36000,MORTGAGE,5,MEDICAL,4000,15.23,0.11,3,1
22,34000,RENT,3,DEBTCONSOLIDATION,4975,7.51,0.15,2,1
24,75000,RENT,0,DEBTCONSOLIDATION,4975,6.76,0.07,4,0
22,95000,RENT,0,MEDICAL,4975,6.17,0.05,3,0
23,42000,OWN,0,PERSONAL,6000,5.42,0.14,2,0
23,27972,RENT,6,VENTURE,5000,8.94,0.18,3,0
22,27996,RENT,1,VENTURE,5000,17.51,0.18,4,1
24,42000,MORTGAGE,4,VENTURE,1200,11.49,0.03,3,0
22,27996,RENT,4,MEDICAL,5000,,0.18,3,0
24,42000,MORTGAGE,8,HOMEIMPROVEMENT,2500,15.28,0.06,2,0
23,28000,RENT,4,DEBTCONSOLIDATION,5000,13.72,0.18,4,1
23,28000,RENT,0,MEDICAL,5000,11.78,0.18,4,0
24,28000,RENT,0,MEDICAL,5000,7.68,0.18,3,0
25,28800,RENT,0,EDUCATION,5000,8.9,0.17,2,0
22,28800,RENT,6,EDUCATION,5000,6.91,0.17,2,0
23,28800,RENT,0,EDUCATION,5000,11.49,0.17,2,0
23,42000,MORTGAGE,8,MEDICAL,7600,6,0.18,2,0
22,42000,MORTGAGE,4,PERSONAL,7050,,0.17,4,0
23,28800,RENT,2,VENTURE,5000,13.11,0.17,3,0
23,29100,RENT,3,EDUCATION,5000,14.84,0.17,2,0
24,29120,RENT,0,EDUCATION,5000,10.99,0.17,4,0
23,29730,RENT,2,DEBTCONSOLIDATION,5000,7.66,0.17,4,0
22,29865,RENT,6,EDUCATION,5000,11.12,0.17,3,1
21,42000,MORTGAGE,1,DEBTCONSOLIDATION,2500,7.29,0.06,4,0
26,30000,RENT,2,EDUCATION,5000,12.42,0.17,2,1
25,30000,RENT,,EDUCATION,5000,7.9,0.17,3,0
24,42000,MORTGAGE,8,DEBTCONSOLIDATION,22250,11.11,0.53,3,0
24,30000,RENT,6,DEBTCONSOLIDATION,5000,12.69,0.17,4,1
26,30000,RENT,4,PERSONAL,5000,,0.17,2,0
23,36000,MORTGAGE,7,HOMEIMPROVEMENT,10750,,0.3,3,1
22,30000,RENT,2,EDUCATION,5000,,0.17,2,0
23,30000,RENT,,HOMEIMPROVEMENT,5000,12.99,0.17,2,1
22,42000,OWN,2,VENTURE,9000,7.66,0.21,2,0
26,30000,RENT,11,MEDICAL,5000,,0.17,2,0
22,30000,RENT,0,HOMEIMPROVEMENT,5000,8.88,0.17,3,1
23,30000,RENT,0,EDUCATION,5000,,0.17,3,0
25,30000,RENT,4,EDUCATION,5000,11.86,0.17,2,0
24,42000,OWN,7,VENTURE,12000,7.66,0.29,3,0
22,30000,RENT,0,EDUCATION,5000,11.49,0.17,2,0
23,30000,RENT,0,PERSONAL,5000,11.86,0.17,2,0
21,30000,RENT,0,VENTURE,5000,8.59,0.17,2,0
21,30000,RENT,2,PERSONAL,5000,14.96,0.17,2,1
25,42000,MORTGAGE,9,HOMEIMPROVEMENT,3250,10,0.08,3,0
21,30000,RENT,3,VENTURE,5000,13.92,0.17,4,0
24,30000,RENT,0,EDUCATION,5000,11.14,0.17,2,0
21,36000,MORTGAGE,0,EDUCATION,14000,6.54,0.39,4,1
26,30000,RENT,7,DEBTCONSOLIDATION,5000,14.42,0.17,4,1
23,30000,RENT,0,PERSONAL,5000,11.59,0.17,4,0
22,30000,RENT,0,EDUCATION,5000,10.33,0.17,3,0
23,30159,RENT,0,EDUCATION,5000,11.12,0.17,2,0
25,42000,MORTGAGE,3,HOMEIMPROVEMENT,10000,5.42,0.24,2,0
22,42000,OWN,0,EDUCATION,12000,,0.29,4,0
22,30900,RENT,3,VENTURE,5000,10,0.16,2,0
23,42000,MORTGAGE,2,VENTURE,1500,6.17,0.04,3,0
26,31000,RENT,4,EDUCATION,5000,14.96,0.16,3,0
22,31000,RENT,2,MEDICAL,5000,10.62,0.16,4,0
25,31000,RENT,0,PERSONAL,5000,8.94,0.16,2,0
26,31200,RENT,8,EDUCATION,5000,8.63,0.16,2,0
22,31404,RENT,0,PERSONAL,5000,7.51,0.16,3,0
25,42000,MORTGAGE,,VENTURE,3500,10.36,0.08,2,0
23,31920,RENT,0,DEBTCONSOLIDATION,5000,8,0.16,3,0
23,42000,MORTGAGE,3,EDUCATION,11000,6.54,0.26,3,0
21,42000,OWN,5,VENTURE,12250,8.88,0.29,4,0
25,32000,RENT,9,VENTURE,5000,14.27,0.16,4,1
23,32000,RENT,4,HOMEIMPROVEMENT,5000,12.69,0.16,4,1
26,32000,RENT,3,VENTURE,5000,6.03,0.16,2,0
22,36000,MORTGAGE,3,DEBTCONSOLIDATION,7000,14.84,0.19,3,1
23,32000,RENT,3,DEBTCONSOLIDATION,5000,14.79,0.16,2,0
24,42000,MORTGAGE,6,VENTURE,9250,11.12,0.22,4,0
26,32000,RENT,3,DEBTCONSOLIDATION,5000,7.49,0.16,2,0
24,32000,RENT,1,MEDICAL,5000,,0.16,3,0
26,32000,RENT,10,PERSONAL,5000,12.53,0.16,3,0
21,32000,RENT,3,EDUCATION,5000,7.68,0.16,4,0
24,32004,RENT,3,DEBTCONSOLIDATION,5000,13.23,0.16,2,0
25,32004,RENT,5,DEBTCONSOLIDATION,5000,14.35,0.16,3,0
24,42000,MORTGAGE,8,PERSONAL,12000,10.38,0.29,4,0
23,32400,RENT,0,MEDICAL,5000,,0.15,2,0
24,42000,MORTGAGE,7,MEDICAL,4200,13.23,0.1,2,0
24,36000,MORTGAGE,8,HOMEIMPROVEMENT,6000,7.14,0.17,4,1
22,32760,RENT,3,PERSONAL,5000,13.48,0.15,3,0
22,32968,RENT,2,DEBTCONSOLIDATION,5000,14.61,0.15,3,1
26,33000,RENT,2,MEDICAL,5000,12.69,0.15,4,0
26,36000,MORTGAGE,2,HOMEIMPROVEMENT,6000,11.49,0.17,2,1
23,33000,RENT,5,PERSONAL,5000,10.62,0.15,2,0
23,42000,MORTGAGE,0,DEBTCONSOLIDATION,11000,7.88,0.26,2,0
22,33000,RENT,1,DEBTCONSOLIDATION,5000,10.25,0.15,4,0
24,33000,RENT,8,MEDICAL,5000,,0.15,3,0
21,33000,RENT,5,EDUCATION,5000,12.84,0.15,2,0
24,42000,OWN,7,MEDICAL,3000,7.51,0.07,2,0
23,33017,RENT,1,PERSONAL,5000,,0.15,4,0
26,33280,RENT,11,DEBTCONSOLIDATION,5000,14.11,0.15,4,1
23,33600,RENT,3,VENTURE,5000,13.49,0.15,4,0
21,33600,RENT,4,EDUCATION,5000,13.49,0.15,3,0
21,42000,MORTGAGE,3,EDUCATION,13750,11.36,0.33,4,0
21,33996,RENT,0,PERSONAL,5000,12.18,0.15,3,0
